Title,IMDB rating,IMDB votes,Genres,Audience Score,Critic Score,Critics Reviews,Audience Reviews,Streaming Platforms
No Way Up,4.6,4185,"Action, Adventure, Drama, Thriller",37%,,Reviews,"1,000+ Ratings","vudu, amazon-prime-video-us"
Immaculate,5.9,20476,Horror,71%,89%,9 Reviews,250+ Ratings,"vudu, amazon-prime-video-us"
Infested,6.5,3268,Horror,18%,60%,5 Reviews,100+ Ratings,amazon-prime-video-us
Godzilla Minus One,8.2,53678,"Action, Adventure, Drama, Horror, Sci-Fi",98%,98%,179 Reviews,"2,500+ Verified Ratings",
Late Night with the Devil,7.1,35400,Horror,81%,97%,196 Reviews,500+ Verified Ratings,"fandango, vudu, amazon-prime-video-us"
X,6.5,173534,"Horror, Mystery, Thriller",,,Reviews,,amazon-prime-video-us
Alien,8.5,951506,"Horror, Sci-Fi",94%,93%,198 Reviews,"250,000+ Ratings","vudu, amazon-prime-video-us, hulu"
Bird Box,6.6,386509,"Horror, Mystery, Sci-Fi",58%,64%,171 Reviews,"5,000+ Ratings",netflix
Elevator Game,4.2,2612,"Horror, Thriller",27%,33%,12 Reviews,50+ Ratings,amazon-prime-video-us
Alien: Covenant,6.4,304132,"Horror, Sci-Fi, Thriller",55%,65%,408 Reviews,"50,000+ Ratings","vudu, amazon-prime-video-us"
Baghead,5.4,5872,Horror,49%,79%,100 Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
Split,7.3,554501,"Horror, Thriller",50%,,Reviews,50+ Ratings,"vudu, amazon-prime-video-us"
Dear David,3.9,999,"Horror, Thriller",63%,,Reviews,Fewer than 50 Ratings,netflix
Angel Heart,7.2,95867,"Horror, Mystery, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The First Omen,6.8,13127,Horror,69%,81%,169 Reviews,500+ Verified Ratings,
Abigail,7.1,11660,"Horror, Thriller",38%,,Reviews,Fewer than 50 Ratings,"peacock, vudu, amazon-prime-video-us"
The Void,5.9,41702,"Horror, Mystery, Sci-Fi, Thriller",24%,,Reviews,500+ Ratings,"vudu, amazon-prime-video-us"
Halloween,7.7,306927,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
The First Omen,6.8,13127,Horror,69%,81%,169 Reviews,500+ Verified Ratings,
Creepshow,7,9266,"Fantasy, Horror, Mystery, Thriller",69%,66%,74 Reviews,"25,000+ Ratings","fandango, vudu, amazon-prime-video-us"
Scream 2,6.3,209838,"Horror, Mystery",58%,82%,84 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us, max-us"
Halloween,7.7,306927,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Blade Runner 2049,8,665840,"Action, Drama, Mystery, Sci-Fi, Thriller",88%,88%,443 Reviews,"25,000+ Ratings","fandango, vudu, amazon-prime-video-us, apple-tv-plus-us, hulu"
Species,5.9,85292,"Action, Horror, Sci-Fi, Thriller",31%,42%,73 Reviews,"25,000+ Ratings","vudu, amazon-prime-video-us, max-us"
Creepshow 2,6,28365,"Fantasy, Horror",41%,29%,24 Reviews,"10,000+ Ratings","vudu, amazon-prime-video-us"
The Nun,5.3,170570,"Horror, Mystery, Thriller",20%,,Reviews,"2,500+ Ratings","vudu, amazon-prime-video-us"
You'll Never Find Me,5.8,3833,"Horror, Thriller",Audience score not found,Critic score not found,Critics reviews not found,Audience reviews not found,
Jaws,8.1,659803,"Adventure, Mystery, Thriller",90%,97%,101 Reviews,"250,000+ Ratings","fandango, vudu, amazon-prime-video-us"
